Total Count,Tweet
1198,RT @HillaryClinton: Hillary and @TimKaine are campaigning together in Pittsburgh. Tune in now to join them live: https://t.co/CcJ6koc5On
1110,"RT @JamesOKeefeIII: AGAIN: Bob Creamer invited our undercover reporter, his “intern,"" to the @WhiteHouse, multiple times. https://t.co/osT2…"
1102,"RT @mitchellvii: You know how we know these polls are bogus?  Hillary's numbers went UP dramatically AFTER Wikileaks and O'Keefe, like it w…"
1102,"RT @mitchellvii: You know how we know these polls are bogus?  Hillary's numbers went UP dramatically AFTER Wikileaks and O'Keefe, like it w…"
1076,RT @WDFx2EU7: Aaron Black shown holding a sign next to Hillary's Donald Duck scheme. Proves latest Project Veritas Video! https://t.co/9Tac…
1076,RT @WDFx2EU7: Aaron Black shown holding a sign next to Hillary's Donald Duck scheme. Proves latest Project Veritas Video! https://t.co/9Tac…
1057,RT @DRUDGE_REPORT: Hillary campaigns at early voting location  --  in violation of NC law? https://t.co/eeLFflPM2I
1057,RT @DRUDGE_REPORT: Hillary campaigns at early voting location  --  in violation of NC law? https://t.co/eeLFflPM2I
1023,"RT @TeamTrump: ""@HillaryClinton's goal is to put the Oval Office up for sale to whoever offers the highest price."" - DJT https://t.co/4G8iH…"
892,"RT @ChristiChat: Make no mistake:

On Nov 9th we'll be celebrating or we'll be be gathering to revolt.

Hillary can't defeat TRUMP
w/o #Vot…"
864,"RT @YoungDems4Trump: #PodestaEmails15 needs to trend! Hillary's Media won't report the Truth! It's up to us!

Help trend it now by tweeting…"
852,"RT @Stonewall_77: Hillary Supporters: Free Speech For Me, But Not For Thee

#MAGA #TrumpPence16 #Trump2016 https://t.co/Ytvc06EOSC"
817,RT @DailyCaller: WikiLeaks: Clinton Adviser Says Hillary Sounds ‘Naive’ Talking About Putin https://t.co/hlH3HCt4Ne #WikiLeaks #PodestaEmai…
767,"RT @albamonica: Hillary Clinton and Tim Kaine campaign together for the first time since Labor Day at a rally in Pittsburgh, PA https://t.c…"
766,"RT @TEN_GOP: Jill Stein: ""How Much More Evidence Does Government Need to Press Charges Against Hillary Clinton?"" https://t.co/cahAYcifHr"
751,RT @CodyRyle: noah fence but I can't stand trump or hillary
733,RT @RealAlexJones: Video: Hillary Personally Ordered ‘Donald Duck’ to Troll Trump Events - https://t.co/FezldShn17  #tcot #tlot
687,RT @TheTrumpLady: WikiLeaks Daily Stream of 1000s of Podesta Emails Is Slowly Chipping Away at #Hillary While We Fight to Save Our Country.…
678,RT @0HOUR1__: Breaking man votes for Hillary and now wants his @Madonna BJ he says he will file a lawsuit if she backs her mouth off the pr…
662,"RT @RealDonalDrumpf: The Dangers of Hillary Clinton:
- Hands off women's bodies
- Gay wedding cakes
- Billionaires pay taxes
- Better healt…"
614,"RT @TheMattWilstein: Reminder: Before he started going after Hillary, @seanhannity wanted Assange arrested for ""waging war"" against U.S. ht…"
591,RT @HispanicsTrump: This is beyond insulting. Hillary and her campaign see Hispanics as nothing more than votes. They only care about thems…
554,RT @goddamnedfrank: This picture of Hillary literally sipping tea while Donald bombs is everything I ever wanted. https://t.co/mKuwXEljMr
554,RT @MarkDice: Can you guys ask @SeanHannity to unblock me.  I'm willing to set aside our past differences and unite for the sake of stoppin…
553,"RT @MissLizzyNJ: The Dangers of Hillary Clinton: If an increase in taxes and Syrian refugees isn't enough, don't forget about Benghazi and…"
537,RT @Democrat_4Trump: And now we have the proof Hillary paid POLL companies to twist POLLS in her favor and also CREATE FAKE POLLS. @CNN @Fo…
537,RT @Democrat_4Trump: And now we have the proof Hillary paid POLL companies to twist POLLS in her favor and also CREATE FAKE POLLS. @CNN @Fo…
537,RT @Democrat_4Trump: And now we have the proof Hillary paid POLL companies to twist POLLS in her favor and also CREATE FAKE POLLS. @CNN @Fo…
529,"RT @Pamela_Moore13: Disgrace!

George Soros &amp; Hillary Clinton rigged the voting using Smartmatic voting machines! 

#PodestaEmails14 https:…"
529,"RT @Pamela_Moore13: Disgrace!

George Soros &amp; Hillary Clinton rigged the voting using Smartmatic voting machines! 

#PodestaEmails14 https:…"
525,"RT @PollyTickal: For those having trouble keeping up with Hillary's position on emails, here's an easy guide!#PodestaEmails #NeverHillary #…"
524,RT @_Makada_: #PodestaEmails15: Hillary was advised to link Trump to Putin in bid to distract voters from Clinton’s ISIS strategy https://t…
497,"RT @TEN_GOP: Life long Democrat &amp; Hillary supporter Sen Mccaskill says she wouldn't let her daughter anywhere near Bill Clinton!
#ICanGuara…"
476,"RT @NubianAwakening: Hillary's campaign colluding with their ""friends at the NYT"" to have stories published discrediting any email revelati…"
476,"RT @NubianAwakening: Hillary's campaign colluding with their ""friends at the NYT"" to have stories published discrediting any email revelati…"
470,"RT @worldnetdaily: DEMS 'IN THEIR OWN WORDS' CONFESS 'VOTER FRAUD'
New videos from @Project_Veritas  investigation of Hillary campaign
http…"
461,"RT @hrtablaze: I'm from the inner city &amp; have felt it's pain! Don't complain about system &amp; then vote hillary! 
#TheHoodForTrump
 https://t…"
428,"RT @LindaSuhler: Let's talk RUSSIA, Hillary

HRC's ""...State Dept approved the transfer of 20% of America’s Uranium holdings to Russia..""…"
427,"RT @WesleyRickard: Wall Street Journal break story Fox news reports Hillary Clinton's team paid $700,000 to influence FBI investigation aga…"
424,RT @P0TUSTrump: How sad that Hillary &amp; her supporters STILL talk about False Accusations instead of Policies &amp; the future of our country.…
423,RT @WDFx2EU7: Trump 'Banned' in West Hollywood; Fans Rally Anyway  https://t.co/cP3WoOWY02
403,"RT @mitchellvii: Today, Trump gave his Gettysburg Address before millions.  Hillary is looking for an address with fewer seats."
403,"RT @mitchellvii: Today, Trump gave his Gettysburg Address before millions.  Hillary is looking for an address with fewer seats."
401,"RT @Dongkey_kong: @mitchellvii Through Primary turnout analysis, Hillary is facing a nearly impossible climb. Only vote rigging will help.…"
400,"RT @joyreaper: Hillary exchanged classified info w/ Podesta from ""private server"" - Saudis are funding terror and she's known that her enti…"
399,"RT @mitchellvii: Today, Trump gave his Gettysburg Address before millions.  Hillary is looking for an address with fewer seats."
397,RT @LucidHurricane_: #HustlingHaiti Podesta was told to warn Hillary that hustling Haiti's goldmines would destroy her! #PodestaEmails16 ht…
395,"RT @mitchellvii: Simple question:  If Hillary is winning, why is CNN in 3rd place?"
